company,num
(주)제이엘텍코퍼레이션,23
(유)비알엠,23
뉴모텍(주),23
(주)에너지와공조,23
(주)강원도민일보,23
(주)케이에스시스템,23
(주)이레아이에스,23
(주)유앤피플,22
(주)아산정밀,22
(주)두산종합목재,22
(주)제이오텍,22
(주)민영산업,22
영진아이엔디(주),22
청화요업(주),22
(주)미스터픽,22
(주)팜크로스,21
(주)청담이엠텍,21
(주)에스에스알,21
한국특수메탈공업(주),21
(주)호남샤니,21
다미폴리켐(주),21
(주)체어로,21
금강메탈(주),21
(주)바이오노트,21
청우중공업(주),20
(주)갈골한과명인식품,20
(주)선구엔지니어링,20
광주아가마지(주),20
이루다플래닛(주),20
(주)에스카,20
(주)트리엔,20
(주)대웅생명과학,20
벡톤디킨슨코리아(주),20
브로스앤컴퍼니(주),20
(주)제이엔테크,20
(주)산돌커뮤니케이션,19
(주)이스트몹,19
(주)이앤에이치,19
하이드로텍(주),19
유비시스(주),19
(주)지앤티솔루션,19
(주)대흥기전,19
유양기술(주),19
(주)와이테크,19
(주)부미,19
한빛이디에스(주),19
서천건설(주),19
일진엔티에스(주),19
(주)나래나노텍,19
(주)미소정보기술,19
아세아전기(주),19
(주)메씨인터내셔날,19
(주)은혜기업,18
(주)부품디비,18
(주)엘림글로벌,18
(주)대산플랜트,18
(주)다보링크,18
현대특수사료(주),18
다인시스템(주),18
(주)미래이앤지,18
(주)연한훼미리,18
(주)에스에이테크,18
(주)하이인텍,18
한국신광마이크로애랙트로닉스(주),17
(주)도브투래빗,17
(주)더가든오브내추럴솔루션,17
(주)마르페,17
(주)길종합건축사사무소이엔지,17
대진하이텍(주),17
(주)에스이코리아,17
국도정밀(주),17
(주)코디박,17
(주)비보존제약,16
(주)신광식품,16
(주)에이치앤엔코퍼레이션,16
(주)엔디케이,16
(주)엔잡얼라이언스,16
(주)엠알티,16
(주)노르마,16
(주)샤론테크,16
하남전기(주),16
(주)에스케이테크,16
(주)피에스아이컨설팅,15
(주)중앙엔지니어링건축사사무소,15
(주)한미이엔지,15
(주)5민랩,15
대한정밀공업(주),15
(주)에코맘의산골이유식농업회사법인,15
(주)씨에이치씨랩,15
(주)선우시스,15
(주)밸런스인더스트리,15
(주)선일플라스틱,15
(주)유브레인커뮤니케이션즈,14
새롬에프에스(주),14
(주)선업,14
(주)남광식품,14
(주)대동에스엠,14
케이에이치이엔티(주),14
(주)진성이앤씨,14
열림정보시스템(주),14
디비비전(주),14
(주)네추럴웨이,14
(주)넷앤드,14
(주)엘콤,13
(주)수내츄럴,13
봉신롤(주),13
세종화학(주),13
삼양철강(주),13
(주)퓨쳐누리,13
(주)김스애드,13
(주)알티엠,13
(주)핀업,13
(주)한국도시측량공사,13
(주)아프로시스,13
(주)엠에코,13
(주)오진양행,13
인터콘시스템스(주),13
동신렌탈(주),12
(주)지티사이언,12
(주)타이드스퀘어,12
(주)오도푸드서비스,12
(주)크리에이텍,12
(주)오상인터내셔널,12
(주)나라엔퍼스,12
(주)삼영정보,12
로제화장품(주),12
국성폴리텍(주),12
(주)유니트란스,12
(주)에이치앤철강,12
(주)에프알디,12
한국요꼬가와일렉트로닉스매뉴팩처링(주),12
(주)미쓰윤,12
(주)제철공무,12
(주)도담이앤씨,12
두성종이(주),12
(주)이십일세기소프트,12
(주)이스트시큐리티,12
금천씨스템(주),12
(주)새성도레미콘,11
(주)한아아이티,11
(유)덕양무역,11
(유)농업회사법인에녹식품,11
에이치아이티(주),11
금오캐스트(주),11
(자)대동창호,11
(주)케이씨엠테크놀로지,11
르노삼성자동차광산정비사업소(주),11
(주)신우금형,11
비앤에이치코리아(주),11
신원스틸(주),11
(주)지엘컴,11
(주)티아이티이엔지,1
경흥건업(주),1
(주)윈트,1
(주)와이즈센싱,1
금능정밀(주),1
(주)디투에스,1
(주)두타아이티,1
(주)유프랜드,1
(주)리서치애드,1
(주)매니지온,1
(주)애드쿠아인터렉티브,1
(주)동원아이팜,1
(주)이정이앤씨,1
(주)호남약품,1
(주)농업회사법인돈우,1
(주)광현이앤씨,1
(주)더웰컴,1
(주)빌트온,1
(주)대흥쿨러,1
(주)대정금속,1
(주)대전사,1
(주)케이엠메디칼,1
(주)케이엠테크,1
(주)프라임텍,1
욱일산업(주),1
(주)나무애니메이션,1
(주)푸른가족농업회사법인,1
유한책임회사하이모,1
쿡앱스,100
111퍼센트 주식회사,28
주식회사 주원씨앤아이,19
농업회사법인주식회사 민속엘피씨,18
주식회사 가온시스템,16
주식회사천유닷컴,1
