No,연번,브랜드명,사업장명,대표자명,업종(중분류),업종(소분류),주소,경도,위도,상태
80,4880,이노비즈,(주)대신테크,김재룡,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,부산 강서구 녹산산업중로 31-14 반도마린 2층 (송정동),128.827020315253,35.0999113002194,정좌표
81,4881,이노비즈,(주)광진기계,장경환,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,전북 전주시 덕진구 감수길 30-44 (팔복동4가),127.101938918584,35.8683189179859,정좌표
82,4882,이노비즈,삼영금속주식회사,"한혜숙,김정준",금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",인천 남동구 남동동로77번길 20 (고잔동),126.694650815727,37.3933406443371,정좌표
83,4883,이노비즈,(유)제일물산,최번부,소매업; 자동차 제외,음ㆍ식료품 및 담배 소매업,전남 완도군 완도읍 농공단지3길 5 ,126.734141892853,34.3370297340905,정좌표
84,4884,이노비즈,신일공영(주),배윤진,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",경기 화성시 향남읍 발안공단로5길 7-14 ,126.907448257458,37.0854499781196,정좌표
85,4885,이노비즈,성부산업,장진만,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경상북도 칠곡군 왜관읍 공단로 203 (왜관읍),128.417936089517,35.968762049966,정좌표
86,4886,이노비즈,(주)오토스윙,허문영,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,서울 금천구 두산로11길 49 (가산동),126.893512893328,37.4725623247658,정좌표
87,4887,이노비즈,(주)에이엔텍,장남식,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경기 화성시 정남면 서봉로921번길 28-8 ,126.964283216607,37.1568689129538,정좌표
88,4888,이노비즈,안성공업(주),이희주,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",서울 금천구 시흥대로79길 21 (시흥동),126.897281858192,37.4587176297068,정좌표
89,4889,이노비즈,(주)명보케이블,조창제,전기장비 제조업,절연선 및 케이블 제조업,경기 화성시 우정읍 쌍봉로 422-5 ,126.800061721424,37.1116535276306,정좌표
90,4890,이노비즈,이노툴,김한섭,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,충청남도 천안시 서북구 직산읍 부송로 165-7 (직산읍),127.109607362984,36.8846853405015,정좌표
91,4891,이노비즈,국제안전물산 유한책임회사,박동규,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,경남 양산시 주남로 63 (주남동),129.162634591885,35.4186503217248,정좌표
92,4892,이노비즈,(주)오맥스,김성원,"의료, 정밀, 광학기기 및 시계 제조업",사진장비 및 광학기기 제조업,경기 부천시  삼작로79번길 25 (삼정동),126.769664118154,37.5214381145419,정좌표
93,4893,이노비즈,(주)아쿠아렉스,장기호,사업지원 서비스업,기타 사업지원 서비스업,경기 성남시 중원구 둔촌대로457번길 27 우림라이온스밸리1차 203호 (상대원동),127.170158566998,37.4338832382662,정좌표
94,4894,이노비즈,철은인터내셔날(주),이은자,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,인천광역시 계양구  계양대로16번길 91 (작전동),126.731933487941,37.5240695396918,정좌표
95,4895,이노비즈,(주)엑스프라임,홍동표,출판업,소프트웨어 개발 및 공급업,서울특별시 관악구  남부순환로 1820 (봉천동) 14층,126.952084218851,37.4809482398175,정좌표
96,4896,이노비즈,에스엠에이치주식회사,정장영,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","경상남도 창원시 의창구  소계로 12 (팔용동, 창원테크노밸리 드림동) 501호",128.605110955463,35.2539510868417,정좌표
97,4897,이노비즈,(주)경인정밀기계,김선경,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"경기 안산시 단원구 시우로 92-8 (초지동,(주)신흥염직)",126.803163388292,37.3071084880669,정좌표
98,4898,이노비즈,(주)삼성정공,위성주,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경상북도 성주군 성주읍 성주산업단지로1길 90 (성주읍),128.292682913418,35.931450628062,정좌표
99,4899,이노비즈,(주)보템,강문석,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,강원도 춘천시 동내면 거두단지1길 27 (동내면),127.779784597871,37.8688100740517,정좌표
100,4900,이노비즈,태화스핀들,김흥섭,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경남 김해시 상동면 상동로 122-52 4B 4L,128.889083371091,35.2976264181272,정좌표
1,401,신청기업,하나시스 주식회사,이정용,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변장치 제조업,경기도 수원시 권선구  산업로155번길 17 (고색동),126.980570723322,37.2427199580722,정좌표
2,402,신청기업,(주)엘카라,이상수,소매업; 자동차 제외,기타 상품 전문 소매업,"부산 해운대구 센텀중앙로 48 1308호 (우동, 에이스하이테크21)",129.129852195067,35.1730251753766,정좌표
3,403,신청기업,주식회사 에이직랜드,이종민,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","경기도 수원시 영통구 대학로 60 (309호(이의동, 리치프라자3차))",127.045792593673,37.3009352787341,정좌표
4,404,신청기업,FM애그텍,정현석,의료용 물질 및 의약품 제조업,기초 의약물질 및 생물학적 제제 제조업,충북 청주시 흥덕구 오송읍 오송생명6로 10 ,127.339892196024,36.645862908621,정좌표
5,405,신청기업,기득산업(주),공경열,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경남 거제시 연초면 오비4길 21-14 ,128.616399372504,34.918354138256,정좌표
6,406,신청기업,(주)씨넷,류윤기,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,부산 영도구 절영로 542 (동삼동),129.073626388178,35.0745217953938,정좌표
7,407,신청기업,(주)인텍플러스,이상윤,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,대전 유성구 테크노2로 263 (탑립동),127.413339827423,36.4185096102595,정좌표
8,408,신청기업,(주)클루닉스,권대석,출판업,소프트웨어 개발 및 공급업,"서울 영등포구 경인로 775 1동 1206호 (문래동3가, 에이스하이테크시티)",126.899432203154,37.5146328237702,정좌표
9,409,신청기업,기양금속공업주식회사,배명직,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기 안산시 단원구 신원로 79 (성곡동),126.751917999773,37.3182058710433,정좌표
10,410,신청기업,기득산업(주),공경열,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경남 김해시 장유로 77-72 (부곡동),128.802212182057,35.2144419479176,정좌표
11,411,신청기업,디지털국제공조(주),문한경,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,경기도 남양주시  경춘로 804-108 (일패동),127.195395974426,37.6293294387239,정좌표
12,412,신청기업,제네시스랩,이영복,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","서울 중구 삼일대로 343 16층 (저동1가, 대신파이낸스센터)",126.986959587298,37.5651008968208,정좌표
13,413,신청기업,페이레터주식회사,이성우,출판업,소프트웨어 개발 및 공급업,서울특별시 강남구 역삼로 223 ,127.041161586552,37.4971094972975,정좌표
14,414,신청기업,클라우드브릭,정태준,출판업,소프트웨어 개발 및 공급업,"경상북도 포항시 남구 청암로 87, 6층 642호(지곡동, 체인지업 그라운드)",129.320685106819,36.0136904343127,인근좌표
15,415,신청기업,바이오스트림테크놀러지스(주),강박운,도매 및 상품 중개업,상품 종합 도매업,경기도 용인시 기흥구  청명산로 46 (하갈동),127.090965390233,37.2583423901799,정좌표
16,416,신청기업,(주)스마트코리아,장채원,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전광역시 동구  안골로28번길 133 (구도동),127.465256894464,36.2726382531981,정좌표
17,417,신청기업,아이리노테크 주식회사,전정희,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"서울 구로구  디지털로 271 (구로동, 벽산3차디지털밸리) 408호",126.89359924192,37.4833069411237,정좌표
18,418,신청기업,(주)크로시스,박중규,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",부산 사하구  신산로 72-1 (신평동),128.963162432018,35.0885967090367,정좌표
19,419,신청기업,주식회사 더유제약,김민구,전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,서울특별시 영등포구 당산로 171 15층 1501호 (금강펜테리움IT타워),126.898097523813,37.5299704369119,정좌표
20,420,신청기업,주식회사대흥금속,이상복,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,충남 아산시 신창면 학성로 82 ,126.912817432638,36.7849096934965,정좌표
21,421,신청기업,농업회사법인주식회사이엔푸드,문형선,식료품 제조업,"도축, 육류 가공 및 저장 처리업",전라북도 김제시 백산면 지평선산단5길 284 (백산면),126.877834342534,35.8418948095239,정좌표
22,422,신청기업,삼에스기계 주식회사,조민행,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,"경기 포천시 가산면 정금로393번길 88 가,나,다동",127.19225786677,37.8273578381385,정좌표
23,423,신청기업,주식회사 감동란,타카오카타카히로,식료품 제조업,기타 식품 제조업,충청남도 논산시 연무읍 동안로 515-9 (신화리),127.065463119226,36.1406099673448,정좌표
24,424,신청기업,주식회사낭만연구소,박창욱,음식점 및 주점업,음식점업,경상북도 구미시  산업로 193-84 (원평동),128.349748647207,36.1257880397082,정좌표
25,425,신청기업,주식회사 델리팜,안상휴,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,"서울특별시 서초구  언남길 5 (양재동, 신성빌딩 9층)",127.041715575522,37.4706634455098,정좌표
26,426,신청기업,주식회사 위우너스,이정웅,출판업,소프트웨어 개발 및 공급업,서울특별시 송파구  중대로 220 (가락동) 국토빌딩 401호,127.127788059325,37.5011999181249,정좌표
27,427,신청기업,국민서관(주),문상수,출판업,"서적, 잡지 및 기타 인쇄물 출판업",경기 파주시 광인사길 63 출판단지내 (문발동),126.685329678636,37.7106357821114,정좌표
28,428,신청기업,넥스엔정보기술(주),이영선,출판업,소프트웨어 개발 및 공급업,"서울특별시 강남구 테헤란로 151 4층 411호 ((역삼동, 역삼하이츠빌딩))",127.036135906164,37.5009814881927,정좌표
29,429,신청기업,(주) 다성테크,이명용,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기도 이천시 마장면(마장면) 이치리 255번지 1호,127.376658016906,37.2526004369549,인근좌표
30,430,신청기업,(주)유비온,임재환,정보서비스업,기타 정보 서비스업,서울 구로구 디지털로34길 27 대륭포스트타워3차 601호 (구로동),126.898222832413,37.4854723839546,정좌표
31,431,신청기업,라온시스템즈(주),김태호,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,"경기도 군포시  고산로 148번길 17, 군포IT밸리 B동 1303,1304,1305호",126.953518557247,37.349613101713,정좌표
32,432,신청기업,주식회사 메디칼파크,박희붕,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,경기도 용인시 수지구  신수로 767 (동천동) 분당수지유타워 지식산업센터 A동 601호,127.101720314267,37.3383168115862,정좌표
33,433,신청기업,주식회사 대건소프트,이재명,출판업,소프트웨어 개발 및 공급업,"대전 유성구 테크노2로 187 A동 504,505호 (용산동, 미건테크노월드)",127.406131445633,36.4240666042595,정좌표
34,434,신청기업,(주)지오넷,오일택,출판업,소프트웨어 개발 및 공급업,"대전 유성구 북유성대로 219 (지족동, 인앤인주상복합) 207호",127.318894139456,36.3853241500459,정좌표
35,435,신청기업,(주)유니스틸,박기현,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경상북도 성주군 성주읍 성주산업단지로2길 132 (성주읍),128.290783252386,35.9379894945727,정좌표
36,436,신청기업,(주)재상피앤에스,오태강,출판업,소프트웨어 개발 및 공급업,경상남도 창원시 의창구 차룡로48번길 44 11층 1114호 (스마트업타워),128.631391057902,35.2411538437962,정좌표
37,437,신청기업,(주)토네즈,"전창은,이주호",소매업; 자동차 제외,가전제품 및 정보통신장비 소매업,서울 금천구 가산동 60-3번지 대륭포스트타워5차 810호,126.886316278295,37.4809643929165,정좌표
38,438,신청기업,(주)에이비라인건축사사무소,"서영철,박래훈","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",서울 성동구 성수이로7길 27 서울숲코오롱디지털타워2차 501호~5 (성수동2가),127.053439216896,37.5415743165546,정좌표
39,439,신청기업,주식회사 노버스메이,박민효,소매업; 자동차 제외,가전제품 및 정보통신장비 소매업,서울특별시 송파구  마천로39길 33 (마천동),127.149210468472,37.500273976573,정좌표
40,440,신청기업,우정설비건설(주),김용희,종합 건설업,건설업본사(소분류),경기도 부천시   부흥로272번길 38 (중동),126.772349461917,37.493411545385,정좌표
41,441,신청기업,대연화학(주),김연두,도매 및 상품 중개업,상품 종합 도매업,경기 성남시 분당구 양현로 164 성남상공회의소 5층,127.125696172418,37.398441716764,정좌표
42,442,신청기업,주식회사 애드인텔리전스,박정배,출판업,소프트웨어 개발 및 공급업,"서울 광진구 천호대로110길 7, 6층 7층 (능동, 마주빌딩)",127.080579193872,37.556161908783,정좌표
43,443,신청기업,(주)다우밸브,박상기,도매 및 상품 중개업,상품 종합 도매업,"서울 영등포구 경인로 775 1동 801호 (문래동3가, 에이스하이테크시티)",126.899432203154,37.5146328237702,정좌표
44,444,신청기업,(주) 케이아이엔엑스,김지욱,정보서비스업,기타 정보 서비스업,서울 서초구 서초대로 396 (서초동) 강남빌딩 21층,127.024761271327,37.4965624317887,정좌표
45,445,신청기업,(주)제이엔디케이,이재식,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울특별시 영등포구 당산로2길 12 305호,126.895433317704,37.5151025777381,정좌표
46,446,신청기업,가비아씨엔에스,원종홍,출판업,소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로 670 B동 3층 322, 323호 (삼평동, 유스페이스2)",127.107083367493,37.4020612007953,정좌표
47,447,신청기업,(주)씨에스피아이,심보년,출판업,소프트웨어 개발 및 공급업,"서울 서초구 바우뫼로27길 7-31 10층 (양재동, 예원빌딩)",127.035342896561,37.4761560707854,정좌표
48,448,신청기업,(주)유에스티21,김종욱,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",인천광역시 연수구 송도1동(송도동) 7번지 27호 산업기술연구집적센터 5층 503호,126.6490437783,37.3880497805843,인근좌표
49,449,신청기업,(주)컨트롤웍스,박승범,도매 및 상품 중개업,상품 종합 도매업,서울특별시 강남구 언주로81길 13 ,127.042622503364,37.4999870738338,정좌표
50,450,신청기업,주식회사 씨엠씨미디어,윤종윤,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송프로그램 제작 및 배급업",서울특별시 구로구 디지털로33길 28 14층 1408호 (우림이비지센터1차),126.895315014809,37.486981999754,정좌표
51,451,신청기업,상신화학공업(주),"민원희,김운권",화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,경기 평택시 오성면 서동대로 2087-11 ,126.973580988445,37.0087643841271,정좌표
52,452,신청기업,(주)디에이치피코리아,여대훈,의료용 물질 및 의약품 제조업,의약품 제조업,충북 청주시 흥덕구 오송읍 오송생명6로 50 ,127.341004455055,36.6432251786927,정좌표
53,453,신청기업,한수테크니칼서비스(주),박기영,도매 및 상품 중개업,기타 전문 도매업,경기 성남시 분당구 판교로 744 802호 (야탑동),127.155122502263,37.4046898667549,정좌표
54,454,신청기업,아이엠써키트(주),조경표,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인천광역시 남동구  남동동로154번길 42 (고잔동),126.701407729505,37.3972184221968,정좌표
55,455,신청기업,(주)가온테크,송길섭,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기도 김포시 양촌읍 황금로127번길 135 (양촌읍),126.622414207836,37.6122608917097,정좌표
56,456,신청기업,주식회사 다이나톤,도상인,기타 제품 제조업,악기 제조업,서울 구로구 디지털로 288 대륭포스타워1차 1701호 (구로동),126.895503000483,37.4835690767373,정좌표
57,457,신청기업,(주)티엔제주,문경록,사업지원 서비스업,여행사 및 기타 여행보조 서비스업,제주특별자치도 제주시  연동13길 5 (연동) 도호빌딩 1층,126.500616886052,33.4964710667092,정좌표
58,458,신청기업,(주)코아아이티,신동용,출판업,소프트웨어 개발 및 공급업,충북 청주시 청원구 오창읍 각리1길 97 302호 (충북유플랫폼운영센터),127.43200208164,36.7063408741068,정좌표
59,459,신청기업,휴미디어,김원중,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,"경기도 군포시  고산로148번길 17 (당정동, 군포 IT밸리) B동 2301호",126.953518557247,37.349613101713,정좌표
60,460,신청기업,(주)브이티피엘,천정욱,소매업; 자동차 제외,기타 상품 전문 소매업,"서울특별시 강남구 테헤란로2길 27, 921호(역삼동, 패스트파이브빌딩)",127.029697657375,37.4964931328647,정좌표
61,461,신청기업,주식회사 랜오아시스,서진선,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울 용산구 청파로20길 9 용산아이피아 B2층 30호 (한강로2가),126.967423384907,37.53339848449,정좌표
62,462,신청기업,(주)영림원소프트랩,권영범,출판업,소프트웨어 개발 및 공급업,서울 강서구 양천로 583 우림블루나인 비즈니스센터 A동 23층 (염창동),126.864347885562,37.5571168116325,정좌표
63,463,신청기업,말랑하니(주),박성준,소매업; 자동차 제외,무점포 소매업,"부산광역시 해운대구 센텀중앙로 97 (재송동, 센텀스카이비즈) 에이동1311호",129.125219673217,35.1746021135331,정좌표
64,464,신청기업,티에스라인시스템(주),최국현,출판업,소프트웨어 개발 및 공급업,서울특별시 영등포구  영신로 220 (영등포동8가) KnK디지털타워 805호,126.904261948292,37.5268029848491,정좌표
65,465,신청기업,(주)열린문디자인,문정선,"기타 전문, 과학 및 기술 서비스업",전문 디자인업,충청남도 아산시 염치읍 은행나무길 223 318호 (충남경제진흥원),127.011670301126,36.7991691963719,정좌표
66,466,신청기업,주식회사 티엔씨,황병봉,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,충남 아산시 둔포면 아산밸리로 304-29 ((주)티앤씨),127.06005040696,36.9130419516138,정좌표
67,467,신청기업,(주)월드홈닥터,김지연,소매업; 자동차 제외,"섬유, 의복, 신발 및 가죽제품 소매업",경기도 안양시 만안구  안양천서로 73 (안양동),126.940434543931,37.3869848823787,정좌표
68,468,신청기업,(주)아파트너스,김슬빈,전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,광주 동구 구성로 190 (금남로5가)흥국금융가족빌딩 2층,126.913941288318,35.1525711185496,정좌표
69,469,신청기업,(주)에이치시티,이수찬,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",기타 과학기술 서비스업,경기 이천시 마장면 서이천로578번길 74 ,127.402304715815,37.2756665340844,정좌표
