No,연번,브랜드명,사업장명,대표자명,업종(중분류),업종(소분류),주소,경도,위도,상태
1,1,신청기업,신영에스아이(주),박형근,출판업,소프트웨어 개발 및 공급업,서울특별시 용산구  원효로35길 25-0 (원효로3가),126.955963634348,37.5341596262657,정좌표
2,2,신청기업,(주)레드소프트,조용현,출판업,소프트웨어 개발 및 공급업,서울특별시 구로구 디지털로31길 38-21 309호 (이앤씨벤처드림타워3차),126.893713213647,37.4865242844754,정좌표
3,3,신청기업,주식회사에이치케이,이향천,가구 제조업,가구 제조업,경기도 하남시 하남대로 947 6층 606호 (하남테크노밸리U1센터 D동),127.193631641391,37.5458880791096,정좌표
4,4,신청기업,네오컨버전스주식회사,남영진,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"서울 성동구 아차산로 49 1701호 (성수동1가, 서울숲 코오롱디지털타워 Ⅲ)",127.050038142579,37.5467892513722,정좌표
5,5,신청기업,(주)삼성그린기술,설진정,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,경기 평택시 청북읍 청북서로 57 ,126.905351196273,37.046914976105,정좌표
6,6,신청기업,아마다웰드테크코리아,후지모토타카시,전기장비 제조업,절연선 및 케이블 제조업,경기 화성시 동탄하나1길 28 (능동),127.061888284674,37.217127873648,정좌표
7,7,신청기업,(주)HS하이테크,이인오,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경기 화성시 동탄면 동탄산단2길 68 ,127.089344968941,37.1642481798028,정좌표
8,8,신청기업,주식회사 큐아이티,배정환,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기도 수원시 영통구 대학4로 17 402호 (에이스광교타워1 (이의동)),127.046710464031,37.3001659463494,정좌표
9,9,신청기업,(주)틸만코리아,김용원,도매 및 상품 중개업,생활용품 도매업,서울 강남구 봉은사로 628 5층 (삼성동),127.064166929147,37.5146728799944,정좌표
10,10,신청기업,명인선재압연 주식회사,권명길,1차 금속 제조업,1차 철강 제조업,경기도 시흥시  마유로186번길 106 (정왕동),126.734211608566,37.328999206289,정좌표
11,11,신청기업,(주)씨큐프라임,이승열,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,"서울특별시 금천구  가산디지털2로 70 (가산동, 대륭테크노타운19차) 2014호",126.882341572055,37.4747060205172,정좌표
12,12,신청기업,두성산업 주식회사,장일선,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,경기 안산시 상록구 안산테콤1길 36 (사사동),126.928109818776,37.2989277430072,정좌표
13,13,신청기업,영남테크놀로지,임상홍,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,경상북도 경산시 진량읍 공단4로40길 23 (진량읍),128.831107726095,35.8750986220913,정좌표
14,14,신청기업,주식회사 케이시스,여두환,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","경상남도 창원시 성산구 마디미동로 25, 8층(상남동, 비전빌딩)",128.685809926985,35.221174273313,정좌표
15,15,신청기업,신우산업(주),하경숙,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전라북도 완주군 봉동읍 테크노밸리2로 123 (봉동읍),127.121516020686,35.9731457844938,정좌표
16,16,신청기업,에스텍(주),오인용,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,경남 양산시 유산공단9길 22 (유산동),129.03182639576,35.3717247316642,정좌표
17,17,신청기업,(주)코마츠코리아,"코마츠아키오,윤희준",도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울 마포구 마포대로 53 A-1007호 (도화동),126.947053908643,37.5414326990878,정좌표
18,18,신청기업,주식회사 켐리시스,허영재,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 안양시 동안구  흥안대로427번길 16 (관양동) 1013호,126.973767515609,37.3930070257709,정좌표
19,19,신청기업,에스앤에스밸브주식회사,안병헌,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경상남도 진주시 정촌면 산업로111번길 29-0 (정촌면) S&S 밸브 진주공장,128.105069841351,35.1253803120582,정좌표
20,20,신청기업,(주)크레스라이트,김동선,전기장비 제조업,전구 및 조명장치 제조업,"경기도 고양시 일산동구  장백로 19 (백석동, 더루벤스카운티) 1018호",126.789212081911,37.6401765780889,정좌표
21,21,신청기업,주식회사 인스팟,김재언,출판업,소프트웨어 개발 및 공급업,서울 강남구 테헤란로14길 6 8층 (역삼동),127.032848942237,37.4989978945261,정좌표
22,22,신청기업,(주)제스큐,황상우,출판업,소프트웨어 개발 및 공급업,서울특별시 금천구 벚꽃로 298 1205호,126.883871728124,37.4814403813235,정좌표
23,23,신청기업,(주)다미화학,"조부선,조광진",도매 및 상품 중개업,기타 전문 도매업,"서울특별시 금천구 가산디지털2로 184 7층 709호 (가산동, 벽산/경인 디지털밸리2)",126.878084323881,37.48424932851,정좌표
24,24,신청기업,(주)비전바이오켐,조철희,도매 및 상품 중개업,상품 종합 도매업,경기 성남시 중원구 갈마치로244번길 31 현대아이밸리 205호 (상대원동),127.177261067804,37.4364278596666,정좌표
25,25,신청기업,(주)덕인,김성철,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전 유성구 대덕대로 748 (화암동),127.374087203092,36.3970756328876,정좌표
26,26,신청기업,(주)비투엔,조광원,출판업,소프트웨어 개발 및 공급업,"서울 영등포구 선유로 146 2층 210호 (양평동3가, 이앤씨드림타워)",126.891828722738,37.5268511994587,정좌표
27,27,신청기업,(주)라톤테크,최대량,출판업,소프트웨어 개발 및 공급업,"서울 금천구 디지털로9길 32 B동 15층 1501호 (가산동, 갑을 그레이트밸리)",126.887512477996,37.4795134635663,정좌표
28,28,신청기업,(주)에어바이블,박원석,기타 제품 제조업,그 외 기타 제품 제조업,충북 청주시 서원구 남이면 사동구암로 59 ,127.410056910549,36.572378489882,정좌표
29,29,신청기업,(주)트랜서핑,고신웅,소매업; 자동차 제외,기타 상품 전문 소매업,서울특별시 종로구 율곡로5길 12-2 ,126.985316894445,37.5771515078963,정좌표
30,30,신청기업,(주)알이디테크놀로지,"주재성,호범석",기타 기계 및 장비 제조업,특수 목적용 기계 제조업,대전 유성구 테크노2로 13-10 (관평동),127.391253003385,36.4340113702802,정좌표
31,31,신청기업,(주)알티스트,손동환,출판업,소프트웨어 개발 및 공급업,대전광역시 서구 대덕대로 400 702호 (만년동 신주빌딩),127.38000345877,36.3687115563778,정좌표
32,32,신청기업,주식회사 트리거파트너스,김운하,출판업,소프트웨어 개발 및 공급업,서울특별시 강남구  논현로114길 11 (논현동) 해광빌딩 2층,127.034315857409,37.5088329985254,정좌표
33,33,신청기업,대성기계공업(주),이칠성,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기 시흥시 공단1대로 334 (정왕동)1288-1,126.736220604117,37.3306899147491,정좌표
34,34,신청기업,(주)사이버테크프랜드,김정혁,출판업,소프트웨어 개발 및 공급업,경기 하남시 조정대로 150 아이테코 951호 (덕풍동),127.194669551776,37.5535252505868,정좌표
35,35,신청기업,(주)켐피아,신용화,도매 및 상품 중개업,기타 전문 도매업,경기 수원시 영통구 창룡대로 260 (이의동)1108호~1111호,127.037614049196,37.2955403401702,정좌표
36,36,신청기업,컴즈 주식회사,김지형,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울특별시 구로구 디지털로34길 27 502호 (대륭포스트타워3차),126.898222832413,37.4854723839546,정좌표
37,37,신청기업,(주) 알킨스,노진환,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,경기 평택시 청북읍 청북중앙로 578-19 ((주)알킨스),126.894065660166,37.0594372030862,정좌표
38,38,신청기업,(주)제이엘아시아,"박진기,이맑음",소매업; 자동차 제외,무점포 소매업,"서울특별시 강서구  공항대로 329 (등촌동, 청호프라자) 3층",126.844322097364,37.5582601629244,정좌표
39,39,신청기업,(주)유브레인커뮤니케이션즈,이성용,전문 서비스업,광고업,서울 마포구 창전로 90 6층 (신수동),126.933263330108,37.5504664272776,정좌표
40,40,신청기업,(주)에이텍에이피,박응민,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"경기 성남시 분당구 판교로 289 (삼평동) 7,9층",127.106074378345,37.403519244276,정좌표
41,41,신청기업,(주)메이드인헤븐,윤정규,출판업,소프트웨어 개발 및 공급업,서울특별시 구로구  디지털로 306 (구로동) 대륭포스트타워2차 614호,126.897336242515,37.4859230493917,정좌표
42,42,신청기업,동아전기부품(주),"이우용,조봉학",전기장비 제조업,기타 전기장비 제조업,경기 화성시 동탄영천로 31 (영천동),127.102731131973,37.2058105398835,정좌표
43,43,신청기업,(주)에이씨케이,"고재익,조선주",출판업,소프트웨어 개발 및 공급업,경기 하남시 조정대로 150 아이테코 9층 933호 (덕풍동),127.194669551776,37.5535252505868,정좌표
44,44,신청기업,(주)더블유케이에스글로벌,김지협,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업","서울특별시 강남구  양재대로 333 (개포동, 유림빌딩) 3층",127.051013214108,37.4719204878921,정좌표
45,45,신청기업,(주)세림티앤디,김창동,전기장비 제조업,기타 전기장비 제조업,충남 천안시 동남구 병천면 충절로 1946 ,127.320114448578,36.765662423863,정좌표
46,46,신청기업,(주)그리드위즈,김구환,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","경기 성남시 분당구 산운로208번길 25 (운중동,1010빌딩4층)",127.081874613468,37.3916392940416,정좌표
47,47,신청기업,농업회사법인 순천만누룽지 주식회사,김종훈,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",전라남도 순천시  팔마로 148 (덕암동) 1층,127.504010908525,34.9442737402642,정좌표
48,48,신청기업,(주)큐빅테크,김부섭,출판업,소프트웨어 개발 및 공급업,"서울특별시 구로구 디지털로 272, 301호, 302호, 303호 (구로동,한신아이티타워)",126.894430021107,37.4825010634128,정좌표
49,49,신청기업,(주)소프트제국,최명수,출판업,소프트웨어 개발 및 공급업,"경기도 고양시 덕양구  중앙로557번길 14 (행신동, 소프트제국빌딩) 2,3층",126.834480400677,37.6231284064817,정좌표
50,50,신청기업,(주)워드바이스,이종환,"기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",서울특별시 강남구  테헤란로 205 (역삼동) 10층,127.038393221983,37.5016257885212,정좌표
51,51,신청기업,(주)셀메이트,서원준,출판업,소프트웨어 개발 및 공급업,"서울특별시 마포구  만리재로 47 (신공덕동, 공덕코어빌딩) 5층",126.955907217354,37.5458183283739,정좌표
52,52,신청기업,(주)유신씨앤씨,양석래,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",경기 안산시 상록구 해안로 705 경기도테크노파크기술고도화센타 508호 (사동),126.829850829155,37.2915245164535,정좌표
53,53,신청기업,신우밸브주식회사,김한용,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기도 김포시 월곶면 대곶로508번길106 ,126.558835318195,37.687766174165,정좌표
54,54,신청기업,(주) 투비웨이,오세창,출판업,소프트웨어 개발 및 공급업,경기도 성남시 분당구  판교역로 230-0 (삼평동) B동 9층 902호,127.110455793215,37.4012848271698,정좌표
55,55,신청기업,(주)에이티에스,정연희,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경북 구미시 산동읍 첨단기업로 79 399,128.447060104302,36.1400891306772,정좌표
56,56,신청기업,(주)디에이비피,김경민,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,경북 칠곡군 가산면 송신로 279 ,128.518108972028,36.104944798812,정좌표
57,57,신청기업,(주)포인트파크,김주한,출판업,소프트웨어 개발 및 공급업,"서울 중구 세종대로9길 41 22층 (서소문동, 올리브타워)",126.972996845007,37.5613584728448,정좌표
58,58,신청기업,(주)영남하이닉스,임상홍,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"경상북도 경산시 진량읍 공단4로40길 3 (진량읍, (주)영남하이닉스)",128.828698911614,35.8749652712179,정좌표
59,59,신청기업,(주)해양정보기술,강용덕,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",기타 과학기술 서비스업,서울 금천구 가산디지털2로 14 1310호 (가산동),126.884254538572,37.4696785896878,정좌표
60,60,신청기업,주식회사 스칼라웍스,신용선,출판업,소프트웨어 개발 및 공급업,서울특별시 금천구  가산디지털2로 70 (가산동) 대륭테크노타운 19차 13층 10호,126.882341572055,37.4747060205172,정좌표
61,61,신청기업,주식회사 티엔코아,김동현,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변장치 제조업,"서울특별시 강서구 마곡중앙2로 5 5층 510호 (510호(마곡동,메트로비즈타워))",126.827453067386,37.5584762373176,정좌표
62,62,신청기업,인천평화의료복지사회적협동조합,박양희,보건업,의원,인천 부평구 경인로1104번길 10 (부개동),126.742121787911,37.4853594837596,정좌표
63,63,신청기업,(주)스트루테크날로지,최종범,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",서울특별시 금천구  가산디지털1로 186 803호 (가산동)JEI PLATZ,126.882050996705,37.4817519353458,정좌표
64,64,신청기업,농업회사법인 주식회사 그린코리아,김찬환,도매 및 상품 중개업,"산업용 농,축산물 및 동,식물 도매업",경기 과천시 광창로 52 (과천동),127.01110847123,37.4485339660495,정좌표
65,65,신청기업,(주)지란지교시큐리티,윤두식,전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,서울특별시 강남구  역삼로 542 (대치동),127.06234390407,37.5039793637618,정좌표
66,66,신청기업,동서산업(주),서정권,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,부산광역시 기장군 일광면 기장대로 1157 (일광면),129.236053516459,35.2970995351916,정좌표
67,67,신청기업,(주)네오아이에스,이진호,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,경기도 부천시  조마루로385번길 122 (춘의동) 21층 2114호,126.791534879313,37.5015884746922,정좌표
68,68,신청기업,(주)대두식품,조성용,식료품 제조업,"과실, 채소 가공 및 저장 처리업",전북 군산시 서수면 상장곤윗길 23 (㈜대두식품),126.883231342537,36.0092283752915,정좌표
69,69,신청기업,(주)날리지큐브,김학훈,출판업,소프트웨어 개발 및 공급업,"서울 강남구  도곡로 205 (역삼동, 원경빌딩 3층,6층)",127.041361884242,37.4929155264901,정좌표
70,70,신청기업,(주)키글,김용수,출판업,소프트웨어 개발 및 공급업,서울특별시 서초구  방배로18길 5 (방배동) 3층,126.995679367353,37.485217686753,정좌표
71,71,신청기업,(주)성창사,박장용,전기장비 제조업,가정용 기기 제조업,부산 강서구  식만로 33-23 (죽림동),128.899952007597,35.1989532227824,정좌표
72,72,신청기업,(주)컨트로맥스,하덕주,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전 유성구 은구비로 52 (지족동) 2층,127.320850624197,36.3757392685242,정좌표
73,73,신청기업,주식회사 소울게임즈,엄태두,출판업,소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로645번길 12 6층 5호 (삼평동, 경기창조경제혁신센터)",127.104876540672,37.4003209511736,정좌표
74,74,신청기업,이데아텍,"어윤호,이정수",출판업,소프트웨어 개발 및 공급업,"서울특별시 서초구  반포대로23길 6 (서초동, 효진빌딩) 301호",127.008313900701,37.4892121395662,정좌표
75,75,신청기업,(주)현대이디에스,이광민,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",부산 기장군 장안읍 에코산단2로 56 (주)현대이디에스,129.259251775315,35.3541571353262,정좌표
76,76,신청기업,(주)디투이노베이션,안지환,출판업,소프트웨어 개발 및 공급업,"경기 성남시 수정구 창업로 42 905호 (시흥동, 판교 제2테크노밸리 경기 기업성장센터)",127.094574749359,37.4122045083844,정좌표
77,77,신청기업,(주)세움,이석길,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,전북 정읍시 정신로 22-19 (하북동),126.8698595835,35.5972283124374,정좌표
78,78,신청기업,성호전자(주),박현남,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,서울 금천구 가산디지털1로 205-17 (가산동),126.879379571425,37.4829491743557,정좌표
79,79,신청기업,(주)한결피아이에프,이주환,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","서울특별시 성동구  성수일로 89 (성수동1가, 메타모르포빌딩) 8층 801호",127.050756429286,37.5484165835263,정좌표
80,80,신청기업,(주)상지금속,박원노,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,충청남도 서산시 음암면 (음암면) 신장리 745-58,126.505934961692,36.7454681927137,정좌표
81,81,신청기업,(주)토미구조엔지니어링,"윤기섭,정재길","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",서울특별시 구로구  디지털로31길 41 (구로동) 이앤씨벤처드림타워6차 5층 508호,126.892751390174,37.4851718180862,정좌표
82,82,신청기업,(주)플랜아이,이명기,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",대전광역시 유성구 문지로 282-10 ,127.407267306821,36.3917205060651,정좌표
83,83,신청기업,(주)브레인콜라,김강산,출판업,소프트웨어 개발 및 공급업,"서울특별시 서초구  강남대로 311 (서초동, 한화생명보험빌딩) 7층 702,706호",127.030299067193,37.4908959185348,정좌표
84,84,신청기업,(주)플래티어,이상훈,출판업,소프트웨어 개발 및 공급업,"서울특별시 송파구 법원로9길 26 (D동 6층 문정동, 에이치비지니스파크)",127.117166844944,37.4844118989007,정좌표
85,85,신청기업,(주)와이앤제이21,김영주,소매업; 자동차 제외,"섬유, 의복, 신발 및 가죽제품 소매업","부산광역시 사상구  광장로56번길 48-12 (괘법동, 은창유공압)",128.981426316973,35.1602556258478,정좌표
86,86,신청기업,(주)경동하우징,송득종,도매 및 상품 중개업,"건축자재, 철물 및 난방장치 도매업",서울특별시 영등포구 양평로 5 7층,126.905018495078,37.532094385357,정좌표
87,87,신청기업,주식회사 심지,정재욱,출판업,소프트웨어 개발 및 공급업,울산 울주군 청량읍 율리영해1길 54 102호,129.244138402937,35.5183797549513,정좌표
88,88,신청기업,(주)넥스틴,박태훈,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"경기도 화성시 동탄면 동탄산단9길 23-12, 8층 (에이피시스템 동탄 제2사업장) (방교리)",129.273808155876,35.7712000354685,정좌표
89,89,신청기업,주식회사 청안오가닉스,"이명연,최병선",소매업; 자동차 제외,음ㆍ식료품 및 담배 소매업,"서울 서초구 효령로29길 39 301호 (방배동, 전일빌딩)",126.994691442814,37.4831651251543,정좌표
90,90,신청기업,(주)커미조아,민경훈,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변장치 제조업,대전광역시 유성구  테크노2로 314 (탑립동),127.411049447611,36.4144047870415,정좌표
91,91,신청기업,주식회사 모은정보기술,전성완,출판업,소프트웨어 개발 및 공급업,울산광역시 북구 명촌20길 16-2 3층,129.355319470411,35.5583468728594,정좌표
92,92,신청기업,주식회사 지란지교에스앤씨,남권우,출판업,소프트웨어 개발 및 공급업,서울특별시 송파구  법원로 128 (문정동) 12층 C1211호,127.120489889157,37.4868450346881,정좌표
93,93,신청기업,(주)지오시스템리서치,장경일,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",경기 군포시 엘에스로 172 306호 (금정동),126.9442867204,37.3756807142813,정좌표
94,94,신청기업,(주) 쉐프스푸드,김영일,도매 및 상품 중개업,상품 중개업,"서울 성동구 성수이로 65 협성빌딩 202호 (성수동2가, 협성빌딩)",127.055444232846,37.5409745500156,정좌표
95,95,신청기업,주식회사파워피티,이승일,"기타 전문, 과학 및 기술 서비스업",전문 디자인업,서울특별시 마포구 도화동(도화동) 205번지 14호 LK빌딩 2층,126.947938144348,37.5381909673747,인근좌표
96,96,신청기업,디더블유메탈 주식회사,우제호,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,"경기 시흥시 마유로20번길 52 (정왕동, 시화공단3바 718호)",126.718058762841,37.3206652092919,정좌표
97,97,신청기업,(주)서린바이오사이언스,황을문,도매 및 상품 중개업,기타 전문 도매업,"경기 성남시 분당구 대왕판교로 700 (삼평동, 코리아 바이오 파크 A동 4층)",127.105435848807,37.4035463197627,정좌표
98,98,신청기업,(주)사나이시스템,"윤상호,윤석인",출판업,소프트웨어 개발 및 공급업,인천광역시 연수구  송도과학로 32 (송도동) M동 2803호,126.662333015939,37.3818130772933,정좌표
99,99,신청기업,(주)엑스코어시스템,양용희,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",세종  가름로 232 (어진동) 세종비지니스센터 A동 612~615호,127.264907879961,36.495627597621,정좌표
100,100,신청기업,(주)위드공감,손유종,전문 서비스업,광고업,경기도 고양시 일산동구 백마로 223 2층 6호 (현대에뜨레보),126.774477153104,37.6550443790922,정좌표
1,901,근무혁신 우수기업,㈜놀부,안세진,식료품 제조업,"과실, 채소 가공 및 저장 처리업",경기 성남시 중원구 도촌로8번길 30 놀부빌딩 (도촌동),127.151506805153,37.4158157653149,정좌표
2,902,근무혁신 우수기업,㈜메가젠임플란트,박광범,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,대구광역시 달성군 다사읍 세천로7길 45 ,128.470069415531,35.8773963951312,정좌표
3,903,근무혁신 우수기업,후루노코리아㈜,코이케무네유키,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"부산광역시 동구  중앙대로180번길 16-14 (초량동, 1층,2층,5층)",129.039973884146,35.1118165589252,정좌표
4,904,근무혁신 우수기업,주식회사이산친환경연구원,주경준,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",기타 과학기술 서비스업,전라남도 담양군 담양읍 에코산단3로 30 ,127.00801240497,35.344078102381,정좌표
5,905,근무혁신 우수기업,녹십자수의약품(주),나승식,의료용 물질 및 의약품 제조업,기초 의약물질 및 생물학적 제제 제조업,경기도 용인시 기흥구 중부대로 438 녹십자,127.11429430784,37.272720267869,정좌표
6,906,근무혁신 우수기업,주식회사인스팅터스,"성민형,박진아",소매업; 자동차 제외,무점포 소매업,서울특별시 성동구  왕십리로 115 (성수동1가) G502호,127.044137549602,37.547920349305,정좌표
7,907,근무혁신 우수기업,케이맥(주),이재원,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전 유성구 테크노8로 33 (용산동),127.402273675271,36.4230323390719,정좌표
8,908,근무혁신 우수기업,(주)다이아덴트,유재훈,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,충북 청주시 흥덕구 오송읍(오송읍) 연제리 626번지,127.320521796213,36.6428931258925,정좌표
9,909,근무혁신 우수기업,"주식회사메디쿼터스(MEDIQUITOUSCo.,Ltd.)",이두진,소매업; 자동차 제외,무점포 소매업,"서울특별시 강남구 논현로 644 2,3층 (지영빌딩)",127.032485620381,37.511227885943,정좌표
10,910,근무혁신 우수기업,(주)성호전자,이준식,전기장비 제조업,절연선 및 케이블 제조업,경상남도 창원시 성산구  완암로 153 (내동),128.668973648223,35.2145295102281,정좌표
11,911,근무혁신 우수기업,주식회사정석케미칼,김용현,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"전라북도 완주군 봉동읍 완주산단5로 192 (봉동읍, 전주3공단내)",127.138328945758,35.9426910847373,정좌표
12,912,근무혁신 우수기업,램리서치매뉴팩춰링코리아유한회사,이선용,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경기 오산시 가장산업동로 14-9 (가장동),127.037589800302,37.1623212372626,정좌표
13,913,근무혁신 우수기업,허브넷굿컴퍼니닷컴주식회사,조창구,전문 서비스업,광고업,"서울특별시 영등포구  63로 50 (여의도동, 63한화생명빌딩) 16층",126.939909194018,37.5196641243041,정좌표
14,914,근무혁신 우수기업,㈜서한,조종수,종합 건설업,건설업본사(소분류),대구광역시 수성구  명덕로 415 (수성동2가) (주)서한빌딩,128.615555922472,35.8546276495071,정좌표
15,915,우리지역 청년 희망이음 기업,경성산업,김경조,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,부산광역시 강서구  낙동남로533번길 14 (녹산동),128.878369026982,35.1138535312534,정좌표
16,916,우리지역 청년 희망이음 기업,다공솔루션,서한석,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","광주 동구 동계천로 150 305호 (동명동, I-PLEX 광주)",126.925839304916,35.148136505376,정좌표
17,917,우리지역 청년 희망이음 기업,㈜자코모,박경분,전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,경기도 남양주시 오남읍 진건오남로929번길 8 (오남읍),127.192511063018,37.7050703808888,정좌표
18,918,우리지역 청년 희망이음 기업,㈜세이프택리서치,공인영,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",대전광역시 유성구 문지로 271-6 ,127.406589640495,36.3913570200541,정좌표
19,920,우리지역 청년 희망이음 기업,㈜아이제이에스,구준모,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,경북 경산시 진량읍 공단4로 14 (주)아이제이에스,128.820574735775,35.8632457994091,정좌표
20,921,우리지역 청년 희망이음 기업,동호테크,장형석,"의료, 정밀, 광학기기 및 시계 제조업",사진장비 및 광학기기 제조업,충남 아산시 둔포면 관대안길 56 ,127.039879616599,36.9049110972524,정좌표
21,922,우리지역 청년 희망이음 기업,㈜엘앤에프,허제홍,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,대구 달서구 달서대로91길 120 (호산동),128.478537176262,35.8401310174846,정좌표
22,923,인재육성형 중소기업,㈜엑티브온,조윤기,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,충청북도 청주시 청원구 오창읍 두릉유리로 46-5 (오창읍),127.347456150319,36.7316089803964,정좌표
23,924,인재육성형 중소기업,㈜티오이십일,박현수,출판업,소프트웨어 개발 및 공급업,"서울특별시 서초구 서초대로 350, 2층 (서초동,동아빌라트)",127.019836901118,37.4951972406353,정좌표
24,925,인재육성형 중소기업,㈜테크니칼코리아,오규일,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기도 화성시 비봉면 현대기아로 771-9 ,126.856655805231,37.2160613211987,정좌표
25,926,인재육성형 중소기업,㈜우성제약,조정래,사업지원 서비스업,기타 사업지원 서비스업,경기도 수원시 영통구  신원로 88 (신동) 101동 610호,127.051461350896,37.2473104493434,정좌표
26,927,인재육성형 중소기업,주식회사 클로봇,김창구,출판업,소프트웨어 개발 및 공급업,"경기도 성남시 분당구 정자일로 239 102동 7층 701-705호 ((정자동, 아이파크분당1))",127.105592969372,37.3712684898869,정좌표
27,928,인재육성형 중소기업,더로드아이앤씨(주),이호상,전기장비 제조업,기타 전기장비 제조업,"경기 안양시 동안구 엘에스로116번길 25-32 5층 515호 (호계동, 안양 SK V1 center)",126.948787499016,37.3740590216556,정좌표
