company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
(주) 이마트에브리데이,월급,1676280,1676280,주6일근무,고졸,관계없음,11,617902,22-01-20,채용시까지  22-02-06,서울,서울 양천구,서울특별시 양천구 목동서로 130,N,01
현대엔지니어링(주),연봉,50000000,70000000,주5일근무,고졸,경력,20,013901,22-01-20,채용시까지  22-02-06,서울,서울 마포구,서울특별시 마포구 월드컵북로56길 19,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702200,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702100,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702501,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702401,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,834004,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,016900,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대엔지니어링(주),연봉,28000000,30000000,주5일근무,학력무관,경력,20,027203,22-01-19,채용시까지  22-03-17,서울,서울 강서구,서울특별시 강서구 공항대로 212,N,01
현대엔지니어링(주),연봉,38000000,42000000,주5일근무,대졸(2~3년),경력,20,140200,22-01-19,채용시까지  22-03-17,서울,서울 강서구,서울특별시 강서구 공항대로 212,N,01
현대엔지니어링(주),연봉,33000000,48000000,주5일근무,대졸(2~3년),경력,20,702901,22-01-19,채용시까지  22-02-06,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대엔지니어링(주),연봉,33000000,45000000,주5일근무,고졸,경력,20,834000,22-01-19,채용시까지  22-02-06,서울,서울 동작구,서울특별시 동작구 노량진로 53,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-18,채용시까지  22-03-04,서울,서울 영등포구,서울특별시 영등포구 영중로 56,N,01
현대엔지니어링(주),연봉,38000000,47000000,주6일근무,대졸(2~3년),경력,20,153105,22-01-18,채용시까지  22-02-13,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-18,채용시까지  22-03-04,서울,서울 양천구,서울특별시 양천구 곰달래로 47,N,01
케이티텔레캅주식회사,연봉,31800000,0,,고졸,관계없음,20,541301,22-01-18,22-02-28,서울,서울 광진구,서울특별시 광진구 능동로 120,N,01
계룡건설산업(주),연봉,30000000,0,주5일근무,학력무관,관계없음,20,140206,22-01-18,22-02-21,서울,서울 강동구,서울특별시 강동구 아리수로 348,N,01
(주)포스코건설,월급,2500000,0,주5일근무,학력무관,관계없음,20,155500,22-01-17,22-02-18,서울,서울 영등포구,서울특별시 영등포구 신길로42가길 52-10,N,01
(주)에스텍시스템,월급,2340000,0,주5일근무,고졸,관계없음,20,541900,22-01-17,채용시까지  22-02-28,서울,서울 용산구,서울특별시 용산구 서빙고로 31,N,01
씨제이프레시웨이주식회사,월급,2043700,2043700,주5일근무,학력무관,관계없음,20,532302,22-01-17,채용시까지  22-02-19,서울,서울 강남구,서울특별시 강남구 강남대로 536,N,01
롯데건설㈜,월급,3400000,0,주6일근무,학력무관,경력,20,140206,22-01-17,채용시까지  22-03-14,서울,서울 강서구,서울특별시 강서구 마곡중앙5로 9,N,01
디비손해보험주식회사,월급,1920000,5000000,주5일근무,고졸,경력,10,613001,22-01-14,22-02-15,서울,서울 도봉구,서울특별시 도봉구 노해로69길 21,N,01
(주)에스텍시스템,월급,2190000,2190000,주5일근무,학력무관,관계없음,10,542000,22-01-14,22-03-13,서울,서울 서초구,서울특별시 서초구 효령로 292  292,N,01
(주)에스텍시스템,월급,1850000,1850000,주5일근무,학력무관,관계없음,10,561101,22-01-14,22-03-13,서울,서울 서초구,서울특별시 서초구 효령로 292  292,N,01
롯데건설㈜,월급,2000000,2200000,주5일근무,고졸,관계없음,20,026104,22-01-14,채용시까지  22-03-11,서울,서울 용산구,서울특별시 용산구 원효로93길 6,N,01
하나은행,시급,10000,10000,주5일근무,학력무관,신입,20,029506,22-01-13,채용시까지  22-03-11,서울,서울 중구,서울특별시 중구 을지로 35,N,01
한화호텔앤드리조트(주),연봉,24000000,25000000,주5일근무,고졸,관계없음,20,029104,22-01-13,22-02-11,서울,서울 영등포구,서울특별시 영등포구 여의대로 56,N,01
(주)한국종합기술,월급,3000000,6000000,주5일근무,고졸,경력,10,151104,22-01-13,채용시까지  22-03-10,서울,서울 강동구,서울특별시 강동구 상일로6길 21,N,01
(주)에스텍시스템,월급,2450000,0,주5일근무,고졸,관계없음,20,541901,22-01-12,채용시까지  22-03-09,서울,서울 송파구,서울특별시 송파구 송파대로 111,N,01
(주)포스코건설,월급,2500000,4000000,주6일근무,대졸(2~3년),경력,20,140206,22-01-12,채용시까지  22-02-11,서울,서울 서초구,서울특별시 서초구 잠원로 195,N,01
케이티텔레캅주식회사,연봉,34200000,36000000,주5일근무,고졸,관계없음,20,541301,22-01-12,22-03-04,서울,서울 서대문구,서울특별시 서대문구 연세로 50,N,01
한화호텔앤드리조트(주),연봉,34000000,36000000,주5일근무,학력무관,경력,20,702901,22-01-12,채용시까지  22-03-02,서울,서울 용산구,서울특별시 용산구 한남대로 91,N,01
(주)경기고속,월급,2300000,2300000,주5일근무,학력무관,관계없음,10,532302,22-01-11,22-03-10,서울,서울 광진구,서울특별시 광진구 강변역로4길 34  34,N,01
(주)아워홈,시급,9160,0,주5일근무,학력무관,관계없음,21,532302,22-01-11,채용시까지  22-02-09,서울,서울 영등포구,서울특별시 영등포구 의사당대로 141,N,01
코오롱글로벌(주),연봉,40000000,100000000,주5일근무,대졸(2~3년),경력,20,140303,22-01-11,22-02-28,서울,서울 양천구,서울특별시 양천구 국회대로 180,N,01
(주)아워홈,시급,9160,9160,주5일근무,학력무관,경력,11,532301,22-01-10,채용시까지  22-03-06,서울,서울 중구,서울특별시 중구 후암로 98,N,01
현대엔지니어링(주),연봉,30000000,30000000,주5일근무,학력무관,경력,20,029506,22-01-10,22-02-28,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
롯데건설㈜,월급,3200000,0,주6일근무,학력무관,관계없음,20,706000,22-01-10,채용시까지  22-03-04,서울,서울 강남구,서울특별시 강남구 역삼로 542,N,01
롯데건설㈜,월급,3500000,0,주5일근무,대졸(2~3년),경력,20,140206,22-01-10,채용시까지  22-03-05,서울,서울 강남구,서울특별시 강남구 역삼로 542,N,01
롯데건설㈜,연봉,46000000,0,주6일근무,학력무관,경력,20,140203,22-01-10,채용시까지  22-03-08,서울,서울 서초구,서울특별시 서초구 강남대로 243,N,01
